# Number of peaks = 3
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# G	 104.0	 0.1095 	 48.81	 4.318
# G	 188.7	 0.05379 	 83.16	 7.261
# G	 294.2	 0.02182 	 117.9	 4.491
# 
# T	dTG	pksum	pk1	pk2	pk3
+3.9200E+02 +1.1507E-02 +1.1104E-02 +8.3020E-17 +1.3667E-04 +1.0968E-02
+3.9500E+02 +1.1079E-02 +1.0622E-02 +4.0046E-17 +1.1442E-04 +1.0508E-02
+3.9800E+02 +1.0651E-02 +1.0149E-02 +1.9171E-17 +9.5549E-05 +1.0054E-02
+4.0000E+02 +1.0226E-02 +9.8398E-03 +1.1683E-17 +8.4607E-05 +9.7552E-03
+4.0300E+02 +9.8026E-03 +9.3841E-03 +5.5230E-18 +7.0344E-05 +9.3138E-03
+4.0500E+02 +9.3811E-03 +9.0863E-03 +3.3376E-18 +6.2108E-05 +9.0242E-03
+4.0800E+02 +8.9613E-03 +8.6487E-03 +1.5581E-18 +5.1415E-05 +8.5973E-03
+4.1100E+02 +8.5458E-03 +8.2224E-03 +7.2187E-19 +4.2452E-05 +8.1800E-03
+4.1400E+02 +8.1373E-03 +7.8078E-03 +3.3194E-19 +3.4961E-05 +7.7728E-03
+4.1600E+02 +7.7365E-03 +7.5380E-03 +1.9692E-19 +3.0672E-05 +7.5073E-03
+4.1900E+02 +7.3477E-03 +7.1434E-03 +8.9417E-20 +2.5150E-05 +7.1183E-03
+4.2100E+02 +6.9693E-03 +6.8873E-03 +5.2603E-20 +2.2001E-05 +6.8653E-03
+4.2400E+02 +6.6065E-03 +6.5134E-03 +2.3587E-20 +1.7962E-05 +6.4955E-03
+4.2700E+02 +6.2586E-03 +6.1523E-03 +1.0496E-20 +1.4626E-05 +6.1376E-03
+4.3000E+02 +5.9256E-03 +5.8039E-03 +4.6360E-21 +1.1879E-05 +5.7920E-03
+4.3200E+02 +5.6035E-03 +5.5788E-03 +2.6774E-21 +1.0326E-05 +5.5685E-03
+4.3500E+02 +5.2986E-03 +5.2519E-03 +1.1677E-21 +8.3499E-06 +5.2436E-03
+4.3700E+02 +5.0022E-03 +5.0412E-03 +6.6876E-22 +7.2371E-06 +5.0340E-03
+4.4000E+02 +4.7217E-03 +4.7359E-03 +2.8802E-22 +5.8270E-06 +4.7300E-03
+4.4200E+02 +4.4479E-03 +4.5394E-03 +1.6357E-22 +5.0358E-06 +4.5344E-03
+4.4500E+02 +4.1912E-03 +4.2555E-03 +6.9566E-23 +4.0371E-06 +4.2515E-03
+4.4800E+02 +3.9480E-03 +3.9842E-03 +2.9364E-23 +3.2280E-06 +3.9810E-03
+4.5000E+02 +3.7120E-03 +3.8104E-03 +1.6453E-23 +2.7769E-06 +3.8076E-03
+4.5300E+02 +3.4933E-03 +3.5599E-03 +6.8580E-24 +2.2107E-06 +3.5577E-03
+4.5500E+02 +3.2785E-03 +3.3997E-03 +3.8107E-24 +1.8963E-06 +3.3978E-03
+4.5800E+02 +3.0802E-03 +3.1695E-03 +1.5685E-24 +1.5031E-06 +3.1679E-03
+4.6100E+02 +2.8925E-03 +2.9510E-03 +6.4072E-25 +1.1884E-06 +2.9498E-03
+4.6300E+02 +2.7078E-03 +2.8118E-03 +3.5127E-25 +1.0147E-06 +2.8108E-03
+4.6600E+02 +2.5389E-03 +2.6124E-03 +1.4170E-25 +7.9873E-07 +2.6116E-03
+4.6800E+02 +2.3706E-03 +2.4856E-03 +7.7035E-26 +6.7998E-07 +2.4849E-03
+4.7100E+02 +2.2187E-03 +2.3044E-03 +3.0686E-26 +5.3296E-07 +2.3039E-03
+4.7400E+02 +2.0758E-03 +2.1337E-03 +1.2132E-26 +4.1665E-07 +2.1332E-03
+4.7600E+02 +1.9329E-03 +2.0255E-03 +6.5075E-27 +3.5306E-07 +2.0251E-03
+4.7900E+02 +1.8059E-03 +1.8713E-03 +2.5405E-27 +2.7481E-07 +1.8711E-03
+4.8100E+02 +1.6763E-03 +1.7739E-03 +1.3514E-27 +2.3220E-07 +1.7737E-03
+4.8400E+02 +1.5605E-03 +1.6354E-03 +5.2096E-28 +1.7996E-07 +1.6352E-03
+4.8600E+02 +1.4392E-03 +1.5480E-03 +2.7480E-28 +1.5162E-07 +1.5479E-03
+4.8900E+02 +1.3307E-03 +1.4241E-03 +1.0461E-28 +1.1699E-07 +1.4240E-03
+4.9200E+02 +1.2270E-03 +1.3084E-03 +3.9525E-29 +9.0043E-08 +1.3083E-03
+4.9400E+02 +1.1200E-03 +1.2357E-03 +2.0570E-29 +7.5512E-08 +1.2356E-03
+4.9700E+02 +1.0297E-03 +1.1328E-03 +7.6747E-30 +5.7865E-08 +1.1328E-03
+4.9900E+02 +9.3588E-04 +1.0683E-03 +3.9608E-30 +4.8387E-08 +1.0683E-03
+5.0200E+02 +8.5899E-04 +9.7729E-04 +1.4593E-30 +3.6919E-08 +9.7725E-04
+5.0500E+02 +7.8890E-04 +8.9287E-04 +5.3359E-31 +2.8095E-08 +8.9285E-04
+5.0800E+02 +7.2471E-04 +8.1470E-04 +1.9364E-31 +2.1325E-08 +8.1467E-04
+5.1000E+02 +6.5417E-04 +7.6587E-04 +9.8108E-32 +1.7719E-08 +7.6585E-04
+5.1200E+02 +5.8696E-04 +7.1955E-04 +4.9539E-32 +1.4705E-08 +7.1953E-04
+5.1500E+02 +5.3355E-04 +6.5457E-04 +1.7664E-32 +1.1094E-08 +6.5456E-04
+5.1700E+02 +4.7114E-04 +6.1410E-04 +8.8447E-33 +9.1809E-09 +6.1409E-04
+5.2000E+02 +4.2179E-04 +5.5743E-04 +3.1142E-33 +6.8964E-09 +5.5743E-04
+5.2200E+02 +3.6290E-04 +5.2222E-04 +1.5463E-33 +5.6905E-09 +5.2221E-04
+5.2500E+02 +3.1839E-04 +4.7301E-04 +5.3766E-34 +4.2560E-09 +4.7301E-04
+5.2800E+02 +2.7748E-04 +4.2789E-04 +1.8553E-34 +3.1749E-09 +4.2788E-04
+5.3000E+02 +2.2819E-04 +3.9993E-04 +9.0897E-35 +2.6076E-09 +3.9993E-04
+5.3300E+02 +1.9434E-04 +3.6100E-04 +3.0974E-35 +1.9368E-09 +3.6100E-04
+5.3500E+02 +1.5242E-04 +3.3693E-04 +1.5048E-35 +1.5862E-09 +3.3693E-04
+5.3800E+02 +1.2706E-04 +3.0348E-04 +5.0636E-36 +1.1730E-09 +3.0348E-04
+5.4000E+02 +9.4468E-05 +2.8284E-04 +2.4394E-36 +9.5788E-10 +2.8284E-04
+5.4300E+02 +7.8615E-05 +2.5420E-04 +8.1059E-37 +7.0531E-10 +2.5420E-04
+5.4500E+02 +5.4433E-05 +2.3657E-04 +3.8725E-37 +5.7429E-10 +2.3657E-04
+5.4800E+02 +4.6475E-05 +2.1217E-04 +1.2707E-37 +4.2104E-10 +2.1217E-04
+5.5000E+02 +2.9936E-05 +1.9717E-04 +6.0197E-38 +3.4183E-10 +1.9717E-04
+5.5300E+02 +2.9689E-05 +1.7644E-04 +1.9505E-38 +2.4953E-10 +1.7644E-04
+5.5600E+02 +3.2214E-05 +1.5769E-04 +6.2726E-39 +1.8167E-10 +1.5769E-04
+5.5800E+02 +2.3401E-05 +1.4621E-04 +2.9319E-39 +1.4682E-10 +1.4621E-04
+5.6100E+02 +2.6976E-05 +1.3039E-04 +9.3107E-40 +1.0643E-10 +1.3039E-04
+5.6300E+02 +1.6977E-05 +1.2072E-04 +4.3156E-40 +8.5762E-11 +1.2072E-04
+5.6600E+02 +1.8308E-05 +1.0743E-04 +1.3533E-40 +6.1901E-11 +1.0743E-04
+5.6800E+02 +5.9803E-06 +9.9319E-05 +6.2204E-41 +4.9736E-11 +9.9319E-05
+5.7100E+02 +6.4461E-06 +8.8192E-05 +1.9263E-41 +3.5743E-11 +8.8192E-05
+5.7400E+02 +7.8006E-06 +7.8210E-05 +5.9200E-42 +2.5620E-11 +7.8210E-05
+5.7600E+02 -2.6311E-06 +7.2140E-05 +2.6848E-42 +2.0490E-11 +7.2140E-05
+5.7900E+02 +1.3010E-18 +6.3837E-05 +8.1480E-43 +1.4623E-11 +6.3837E-05
+5.8100E+02 -9.4274E-06 +5.8798E-05 +3.6643E-43 +1.1662E-11 +5.8798E-05
+5.8400E+02 -6.0970E-06 +5.1918E-05 +1.0982E-43 +8.2866E-12 +5.1918E-05
+5.8700E+02 -3.7691E-06 +4.5784E-05 +3.2663E-44 +5.8731E-12 +4.5784E-05
+5.8900E+02 -1.5728E-05 +4.2073E-05 +1.4493E-44 +4.6619E-12 +4.2073E-05
+5.9200E+02 -1.6750E-05 +3.7022E-05 +4.2568E-45 +3.2898E-12 +3.7022E-05
+5.9500E+02 -1.9253E-05 +3.2536E-05 +1.2409E-45 +2.3155E-12 +3.2536E-05
