# Number of peaks = 8
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# L	 47.31	 6020.0 	 0.07428	 697.9
# L	 47.44	 2970.0 	 0.0695	 321.9
# L	 56.13	 3130.0 	 0.0782	 383.5
# L	 56.28	 1670.0 	 0.07735	 202.3
# L	 69.13	 632.0 	 0.09931	 98.08
# L	 69.33	 340.0 	 0.09969	 52.96
# L	 76.37	 972.0 	 0.0974	 144.4
# L	 76.6	 553.0 	 0.09849	 82.74
# 
# 2theta	I	pksum	pk1	pk2	pk3	pk4	pk5	pk6	pk7	pk8
+4.2860E+01 +1.8451E+01 +6.3906E-01 +4.2003E-01 +1.7128E-01 +2.7193E-02 +1.3864E-02 +2.2577E-03 +1.2051E-03 +2.0526E-03 +1.1781E-03
+4.2890E+01 +2.2070E+01 +6.4726E-01 +4.2575E-01 +1.7355E-01 +2.7316E-02 +1.3927E-02 +2.2629E-03 +1.2079E-03 +2.0563E-03 +1.1802E-03
+4.2920E+01 +2.3889E+01 +6.5561E-01 +4.3160E-01 +1.7586E-01 +2.7440E-02 +1.3989E-02 +2.2681E-03 +1.2106E-03 +2.0600E-03 +1.1823E-03
+4.2950E+01 +1.8509E+01 +6.6414E-01 +4.3756E-01 +1.7822E-01 +2.7565E-02 +1.4052E-02 +2.2733E-03 +1.2134E-03 +2.0637E-03 +1.1844E-03
+4.2980E+01 +1.1328E+01 +6.7284E-01 +4.4365E-01 +1.8063E-01 +2.7691E-02 +1.4116E-02 +2.2785E-03 +1.2161E-03 +2.0674E-03 +1.1865E-03
+4.3010E+01 +2.3500E+00 +6.8172E-01 +4.4987E-01 +1.8309E-01 +2.7818E-02 +1.4180E-02 +2.2837E-03 +1.2189E-03 +2.0711E-03 +1.1886E-03
+4.3040E+01 +1.3169E+01 +6.9078E-01 +4.5622E-01 +1.8560E-01 +2.7946E-02 +1.4244E-02 +2.2890E-03 +1.2217E-03 +2.0749E-03 +1.1907E-03
+4.3070E+01 +2.0388E+01 +7.0003E-01 +4.6270E-01 +1.8816E-01 +2.8074E-02 +1.4309E-02 +2.2943E-03 +1.2245E-03 +2.0786E-03 +1.1929E-03
+4.3100E+01 +2.6708E+01 +7.0947E-01 +4.6932E-01 +1.9077E-01 +2.8204E-02 +1.4374E-02 +2.2996E-03 +1.2273E-03 +2.0823E-03 +1.1950E-03
+4.3130E+01 +2.9429E+01 +7.1912E-01 +4.7609E-01 +1.9344E-01 +2.8334E-02 +1.4440E-02 +2.3049E-03 +1.2301E-03 +2.0861E-03 +1.1971E-03
+4.3160E+01 +6.9490E+00 +7.2897E-01 +4.8300E-01 +1.9616E-01 +2.8465E-02 +1.4506E-02 +2.3102E-03 +1.2329E-03 +2.0899E-03 +1.1993E-03
+4.3190E+01 +1.9568E+01 +7.3903E-01 +4.9007E-01 +1.9894E-01 +2.8598E-02 +1.4572E-02 +2.3155E-03 +1.2358E-03 +2.0937E-03 +1.2015E-03
+4.3220E+01 +1.1488E+01 +7.4930E-01 +4.9729E-01 +2.0178E-01 +2.8731E-02 +1.4639E-02 +2.3209E-03 +1.2386E-03 +2.0975E-03 +1.2036E-03
+4.3250E+01 +1.5108E+01 +7.5980E-01 +5.0467E-01 +2.0468E-01 +2.8865E-02 +1.4707E-02 +2.3263E-03 +1.2415E-03 +2.1013E-03 +1.2058E-03
+4.3280E+01 +1.5128E+01 +7.7053E-01 +5.1222E-01 +2.0765E-01 +2.9000E-02 +1.4775E-02 +2.3317E-03 +1.2443E-03 +2.1051E-03 +1.2080E-03
+4.3310E+01 +2.5047E+01 +7.8150E-01 +5.1994E-01 +2.1068E-01 +2.9136E-02 +1.4843E-02 +2.3371E-03 +1.2472E-03 +2.1089E-03 +1.2101E-03
+4.3340E+01 +2.2367E+01 +7.9271E-01 +5.2783E-01 +2.1378E-01 +2.9273E-02 +1.4912E-02 +2.3425E-03 +1.2501E-03 +2.1127E-03 +1.2123E-03
+4.3370E+01 +9.7880E+00 +8.0418E-01 +5.3591E-01 +2.1694E-01 +2.9410E-02 +1.4981E-02 +2.3480E-03 +1.2530E-03 +2.1166E-03 +1.2145E-03
+4.3400E+01 +2.6907E+01 +8.1590E-01 +5.4417E-01 +2.2018E-01 +2.9549E-02 +1.5051E-02 +2.3535E-03 +1.2559E-03 +2.1204E-03 +1.2167E-03
+4.3430E+01 +1.3427E+01 +8.2789E-01 +5.5263E-01 +2.2349E-01 +2.9689E-02 +1.5121E-02 +2.3590E-03 +1.2588E-03 +2.1243E-03 +1.2189E-03
+4.3460E+01 +2.0647E+01 +8.4015E-01 +5.6128E-01 +2.2688E-01 +2.9830E-02 +1.5192E-02 +2.3645E-03 +1.2617E-03 +2.1282E-03 +1.2211E-03
+4.3490E+01 +3.5968E+01 +8.5270E-01 +5.7014E-01 +2.3034E-01 +2.9972E-02 +1.5264E-02 +2.3700E-03 +1.2646E-03 +2.1320E-03 +1.2233E-03
+4.3520E+01 +1.7987E+01 +8.6554E-01 +5.7921E-01 +2.3388E-01 +3.0114E-02 +1.5336E-02 +2.3756E-03 +1.2676E-03 +2.1359E-03 +1.2255E-03
+4.3550E+01 +9.0070E+00 +8.7869E-01 +5.8850E-01 +2.3751E-01 +3.0258E-02 +1.5408E-02 +2.3812E-03 +1.2705E-03 +2.1398E-03 +1.2278E-03
+4.3580E+01 +1.8028E+01 +8.9214E-01 +5.9801E-01 +2.4122E-01 +3.0403E-02 +1.5481E-02 +2.3868E-03 +1.2735E-03 +2.1438E-03 +1.2300E-03
+4.3610E+01 +1.4447E+01 +9.0592E-01 +6.0775E-01 +2.4501E-01 +3.0549E-02 +1.5554E-02 +2.3924E-03 +1.2764E-03 +2.1477E-03 +1.2322E-03
+4.3640E+01 +1.0867E+01 +9.2003E-01 +6.1774E-01 +2.4890E-01 +3.0696E-02 +1.5628E-02 +2.3980E-03 +1.2794E-03 +2.1516E-03 +1.2345E-03
+4.3670E+01 +1.1786E+01 +9.3448E-01 +6.2797E-01 +2.5288E-01 +3.0844E-02 +1.5702E-02 +2.4037E-03 +1.2824E-03 +2.1556E-03 +1.2367E-03
+4.3700E+01 +1.9006E+01 +9.4929E-01 +6.3846E-01 +2.5696E-01 +3.0993E-02 +1.5777E-02 +2.4093E-03 +1.2854E-03 +2.1595E-03 +1.2390E-03
+4.3730E+01 +1.9026E+01 +9.6446E-01 +6.4922E-01 +2.6113E-01 +3.1143E-02 +1.5853E-02 +2.4150E-03 +1.2884E-03 +2.1635E-03 +1.2413E-03
+4.3760E+01 +1.9946E+01 +9.8001E-01 +6.6025E-01 +2.6541E-01 +3.1295E-02 +1.5929E-02 +2.4208E-03 +1.2915E-03 +2.1675E-03 +1.2435E-03
