# XRD pattern of silicon standard
#
#2theta	Intensity
60.08	116.88
60.11	122.312
60.14	111.544
60.17	113.377
60.2	110.708
60.23	112.542
60.26	113.473
60.29	120.706
60.32	117.139
60.35	110.87
60.38	110.902
60.41	108.235
60.44	103.767
60.47	118.2
60.5	117.331
60.53	112.864
60.56	122.796
60.59	108.428
60.62	115.66
60.65	113.893
60.68	109.424
60.71	113.058
60.74	107.689
60.77	109.522
60.8	116.754
60.83	103.286
60.86	112.318
60.89	118.651
60.92	107.882
60.95	112.414
60.98	109.747
61.01	108.879
61.04	111.612
61.07	112.543
61.1	108.976
61.13	112.608
61.16	117.141
61.19	118.072
61.22	109.105
61.25	112.737
61.28	112.769
61.31	110.101
61.34	112.834
61.37	113.766
61.4	120.997
61.43	104.83
61.46	108.463
61.49	109.394
61.52	109.426
61.55	105.859
61.58	107.69
61.61	122.123
61.64	110.455
61.67	116.788
61.7	112.32
61.73	117.752
61.76	116.884
61.79	117.817
61.82	110.649
61.85	114.281
61.88	115.213
61.91	112.546
61.94	109.877
61.97	114.411
62	117.142
62.03	115.375
62.06	117.207
62.09	109.139
62.12	110.971
62.15	117.303
62.18	113.736
62.21	120.069
62.24	113.8
62.27	111.1
62.3	117.4
62.33	111.1
62.36	118.3
62.39	110.2
62.42	108.4
62.45	106.6
62.48	114.7
62.51	112.9
62.54	114.7
62.57	109.3
62.6	112.9
62.63	112.9
62.66	109.3
62.69	106.6
62.72	113.8
62.75	110.2
62.78	115.6
62.81	119.2
62.84	121.9
62.87	113.8
62.9	114.7
62.93	115.6
62.96	120.1
62.99	112.9
63.02	111.1
63.05	109.3
63.08	112.9
63.11	117.4
63.14	114.7
63.17	120.1
63.2	119.2
63.23	114.7
63.26	109.3
63.29	111.1
63.32	118.3
63.35	106.6
63.38	119.2
63.41	114.7
63.44	115.6
63.47	120.1
63.5	108.4
63.53	114.7
63.56	121.9
63.59	111.1
63.62	119.2
63.65	110.2
63.68	108.4
63.71	115.6
63.74	110.2
63.77	115.6
63.8	112.9
63.83	119.2
63.86	123.7
63.89	112.9
63.92	105.7
63.95	110.2
63.98	111.1
64.01	117.4
64.04	119.2
64.07	111.1
64.1	117.4
64.13	121.9
64.16	118.3
64.19	110.2
64.22	118.3
64.25	117.4
64.28	113.8
64.31	111.1
64.34	110.2
64.37	114.7
64.4	111.1
64.43	111.1
64.46	111.1
64.49	108.4
64.52	113.8
64.55	109.3
64.58	114.7
64.61	112.9
64.64	111.1
64.67	113.8
64.7	110.2
64.73	124.6
64.76	113.8
64.79	111.1
64.82	117.4
64.85	109.3
64.88	112.9
64.91	106.6
64.94	112.9
64.97	112.9
65	117.4
65.03	119.2
65.06	105.7
65.09	109.3
